filename,url,doc_type,download,title
Ley de Mecanismos Alternativos de Solución de Controversias del Estado Libre y Soberano de Puebla_T4_23032023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Mecanismos_Alternativos_de_Solución_de_Controversias_del_Estado_Libre_y_Soberano_de_Puebla_T4_23032023.pdf,leyes,0,Ley de Mecanismos Alternativos de Solución de Controversias del Estado Libre y Soberano de Puebla T4
Ley de Mecanismos Alternativos de Solución de Controversias para el Estado Libre y Soberano de Puebla_5EV_23022024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Mecanismos_Alternativos_de_Solución_de_Controversias_para_el_Estado_Libre_y_Soberano_de_Puebla_5EV_23022024.pdf,leyes,0,Ley de Mecanismos Alternativos de Solución de Controversias para el Estado Libre y Soberano de PueblaEV
Ley_de_Medios_Alternativos_en_Materia_Penal_para_el_Edo_de_Puebla_17032016.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Medios_Alternativos_en_Materia_Penal_para_el_Edo_de_Puebla_17032016.pdf,leyes,0,Ley de Medios Alternativos en Materia Penal para el Edo de Puebla
Ley_de_Medios_Electronicos_del_Estado_de_Puebla_9052012_.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Medios_Electronicos_del_Estado_de_Puebla_9052012_.pdf,leyes,1,Ley de Medios Electronicos del Estado de Puebla
Ley_de_Mejora_Regulatoria_y_Buena_Administracion_para_el_Estado_de_Puebla_T_2_20112020.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Mejora_Regulatoria_y_Buena_Administracion_para_el_Estado_de_Puebla_T_2_20112020.pdf,leyes,1,Ley de Mejora Regulatoria y Buena Administracion para el Estado de Puebla T
Ley de Movilidad y Seguridad Vial del Estado de Puebla_2EV_05122023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Movilidad_y_Seguridad_Vial_del_Estado_de_Puebla_2EV_05122023.pdf,leyes,1,Ley de Movilidad y Seguridad Vial del Estado de PueblaEV
Ley_de_Obra_Pública_y_Servicios_Relacionados_con_la_Misma_para_el_Estado_de_Puebla_T2_07082023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Obra_Pública_y_Servicios_Relacionados_con_la_Misma_para_el_Estado_de_Puebla_T2_07082023.pdf,leyes,1,Ley de Obra Pública y Servicios Relacionados con la Misma para el Estado de Puebla T2
Ley_de_Ordenamiento_Territorial_y_Desarrollo_Urbano_del_Estado_de_Puebla_3EV_22032024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Ordenamiento_Territorial_y_Desarrollo_Urbano_del_Estado_de_Puebla_3EV_22032024.pdf,leyes,1,Ley de Ordenamiento Territorial y Desarrollo Urbano del Estado de PueblaEV
Ley_de_Planeacion_para_el_Desarrollo_del_Estado_de_Puebla_2EV_25082023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Planeacion_para_el_Desarrollo_del_Estado_de_Puebla_2EV_25082023.pdf,leyes,1,Ley de Planeacion para el Desarrollo del Estado de PueblaEV
Ley_de_Prestacion_de_Servicios_para_la_Atencion_Cuidado_y_Desarrollo_Integral_Infantil_del_Estado_de_Puebla_EV_04042023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Prestacion_de_Servicios_para_la_Atencion_Cuidado_y_Desarrollo_Integral_Infantil_del_Estado_de_Puebla_EV_04042023.pdf,leyes,1,Ley de Prestacion de Servicios para la Atencion Cuidado y Desarrollo Integral Infantil del Estado de Puebla EV
Ley_de_Presupuesto_y_Gasto_Publico_Responsable_del_Estado_de_Puebla_T_210112020.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Presupuesto_y_Gasto_Publico_Responsable_del_Estado_de_Puebla_T_210112020.pdf,leyes,1,Ley de Presupuesto y Gasto Publico Responsable del Estado de Puebla T
Ley_de_Prevencion_Atencion_y_Sancion_de_la_Violencia_Familiar_para_el_Estado_de_Puebla_T2_02012024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Prevencion_Atencion_y_Sancion_de_la_Violencia_Familiar_para_el_Estado_de_Puebla_T2_02012024.pdf,leyes,1,Ley de Prevencion Atencion y Sancion de la Violencia Familiar para el Estado de Puebla T2
Ley_de_Proteccion_a_las_Personas_Adultas_Mayores_para_el_Estado_de_Puebla_2EV_06102023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Proteccion_a_las_Personas_Adultas_Mayores_para_el_Estado_de_Puebla_2EV_06102023.pdf,leyes,1,Ley de Proteccion a las Personas Adultas Mayores para el Estado de PueblaEV
Ley_de_Proteccion_a_los_Animales_para_el_Estado_de_Puebla30122016.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Proteccion_a_los_Animales_para_el_Estado_de_Puebla30122016.pdf,leyes,1,Ley de Proteccion a los Animales para el Estado de Puebla30122016
Ley_de_Proteccion_a_los_No_Fumadores_para_el_Estado_de_Puebla_29122017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Proteccion_a_los_No_Fumadores_para_el_Estado_de_Puebla_29122017.pdf,leyes,1,Ley de Proteccion a los No Fumadores para el Estado de Puebla
